Start of log file. Seed: 1680644221
Day 1: 
ExxonMobil - Price: 100.720001     Price change: 0.720001% 
McDonalds - Price: 328.600098     Price change: 0.890000% 
Coca-Cola - Price: 358.776428     Price change: 0.300003% 
Microsoft - Price: 253.522415     Price change: 4.760001% 
AT&T - Price: 335.895782     Price change: -0.790002% 
Day 125: 
ExxonMobil - Price: 461.378418     Price change: 1.259999% 
Shermin-Williams - Price: 351.631531     Price change: 0.899997% 
Boeing - Price: 252.744308     Price change: 2.189997% 
Duke Energy - Price: 334.064880     Price change: 0.549998% 
UnitedHealth Group - Price: 316.389343     Price change: -1.729997% 
JPMorgan Chase - Price: 336.867920     Price change: 1.380004% 
McDonalds - Price: 332.806183     Price change: 1.280001% 
Coca-Cola - Price: 361.826019     Price change: 0.849998% 
Microsoft - Price: 259.125275     Price change: 2.210006% 
AT&T - Price: 333.443756     Price change: -0.729996% 
Day 126: 
ExxonMobil - Price: 481.125427     Price change: 4.280003% 
Shermin-Williams - Price: 365.450653     Price change: 3.930001% 
Boeing - Price: 250.292694     Price change: -0.969998% 
Duke Energy - Price: 342.182648     Price change: 2.429997% 
UnitedHealth Group - Price: 316.104584     Price change: -0.090003% 
JPMorgan Chase - Price: 337.878510     Price change: 0.299996% 
McDonalds - Price: 337.265778     Price change: 1.339998% 
Coca-Cola - Price: 378.289093     Price change: 4.549997% 
Microsoft - Price: 262.001556     Price change: 1.109997% 
AT&T - Price: 327.808563     Price change: -1.689998% 
Day 127: 
ExxonMobil - Price: 479.297150     Price change: -0.380000% 
Shermin-Williams - Price: 323.094910     Price change: -11.590003% 
Boeing - Price: 268.739258     Price change: 7.369997% 
Duke Energy - Price: 343.346069     Price change: 0.340000% 
UnitedHealth Group - Price: 316.072968     Price change: -0.010002% 
JPMorgan Chase - Price: 339.331390     Price change: 0.430001% 
McDonalds - Price: 342.527130     Price change: 1.560002% 
Coca-Cola - Price: 381.920654     Price change: 0.959996% 
Microsoft - Price: 263.678375     Price change: 0.640003% 
AT&T - Price: 327.513550     Price change: -0.089996% 
Day 128: 
ExxonMobil - Price: 491.519226     Price change: 2.550000% 
Shermin-Williams - Price: 323.902649     Price change: 0.250001% 
Boeing - Price: 273.925934     Price change: 1.930003% 
Duke Energy - Price: 344.959808     Price change: 0.470004% 
UnitedHealth Group - Price: 319.107269     Price change: 0.960000% 
JPMorgan Chase - Price: 340.926239     Price change: 0.469997% 
McDonalds - Price: 347.733551     Price change: 1.520002% 
Coca-Cola - Price: 385.739868     Price change: 1.000002% 
Microsoft - Price: 266.842529     Price change: 1.200005% 
AT&T - Price: 329.085602     Price change: 0.479996% 
Day 129: 
ExxonMobil - Price: 491.273468     Price change: -0.050000% 
Shermin-Williams - Price: 325.392609     Price change: 0.460002% 
Boeing - Price: 276.117340     Price change: 0.800000% 
Duke Energy - Price: 340.268341     Price change: -1.360004% 
UnitedHealth Group - Price: 328.201813     Price change: 2.849996% 
JPMorgan Chase - Price: 339.323883     Price change: -0.470001% 
McDonalds - Price: 352.219299     Price change: 1.289996% 
Coca-Cola - Price: 387.051392     Price change: 0.340002% 
Microsoft - Price: 267.136047     Price change: 0.109997% 
AT&T - Price: 325.235291     Price change: -1.170003% 
Day 130: 
ExxonMobil - Price: 489.455750     Price change: -0.370001% 
Shermin-Williams - Price: 327.637817     Price change: 0.690000% 
Boeing - Price: 272.583038     Price change: -1.280000% 
Duke Energy - Price: 342.207886     Price change: 0.570004% 
UnitedHealth Group - Price: 334.864319     Price change: 2.030003% 
JPMorgan Chase - Price: 348.248108     Price change: 2.630002% 
McDonalds - Price: 355.741486     Price change: 0.999998% 
Coca-Cola - Price: 400.791718     Price change: 3.550000% 
Microsoft - Price: 267.216187     Price change: 0.029999% 
AT&T - Price: 335.968048     Price change: 3.299998% 
Day 131: 
ExxonMobil - Price: 502.866852     Price change: 2.740003% 
Shermin-Williams - Price: 326.982544     Price change: -0.199999% 
Boeing - Price: 270.211578     Price change: -0.869995% 
Duke Energy - Price: 343.234497     Price change: 0.299996% 
UnitedHealth Group - Price: 333.089539     Price change: -0.530000% 
JPMorgan Chase - Price: 349.501801     Price change: 0.360000% 
McDonalds - Price: 362.714020     Price change: 1.960000% 
Coca-Cola - Price: 406.002014     Price change: 1.300001% 
Microsoft - Price: 267.937683     Price change: 0.270005% 
AT&T - Price: 341.477936     Price change: 1.640003% 
Day 132: 
ExxonMobil - Price: 500.251953     Price change: -0.519998% 
Shermin-Williams - Price: 328.094299     Price change: 0.340005% 
Boeing - Price: 272.589447     Price change: 0.880003% 
Duke Energy - Price: 349.618652     Price change: 1.859998% 
UnitedHealth Group - Price: 341.749878     Price change: 2.600003% 
JPMorgan Chase - Price: 345.412628     Price change: -1.170000% 
McDonalds - Price: 355.568542     Price change: -1.970003% 
Coca-Cola - Price: 411.767242     Price change: 1.420000% 
Microsoft - Price: 270.134766     Price change: 0.819998% 
AT&T - Price: 339.599792     Price change: -0.550004% 
Day 133: 
ExxonMobil - Price: 522.112976     Price change: 4.370003% 
Shermin-Williams - Price: 336.132599     Price change: 2.449997% 
Boeing - Price: 279.131592     Price change: 2.399999% 
Duke Energy - Price: 356.820801     Price change: 2.060001% 
UnitedHealth Group - Price: 335.564209     Price change: -1.809999% 
JPMorgan Chase - Price: 343.685577     Price change: -0.499996% 
McDonalds - Price: 359.195343     Price change: 1.020000% 
Coca-Cola - Price: 418.684937     Price change: 1.680001% 
Microsoft - Price: 270.810089     Price change: 0.249995% 
AT&T - Price: 347.546417     Price change: 2.339997% 
Day 134: 
ExxonMobil - Price: 523.261597     Price change: 0.219995% 
Shermin-Williams - Price: 330.216675     Price change: -1.759997% 
Boeing - Price: 284.323425     Price change: 1.859995% 
Duke Energy - Price: 358.462189     Price change: 0.460003% 
UnitedHealth Group - Price: 328.517365     Price change: -2.099999% 
JPMorgan Chase - Price: 352.277710     Price change: 2.499998% 
McDonalds - Price: 356.501373     Price change: -0.750001% 
Coca-Cola - Price: 442.340637     Price change: 5.650000% 
Microsoft - Price: 275.549255     Price change: 1.749996% 
AT&T - Price: 357.451477     Price change: 2.849996% 
Day 135: 
ExxonMobil - Price: 528.441895     Price change: 0.990002% 
Shermin-Williams - Price: 330.645966     Price change: 0.130003% 
Boeing - Price: 283.527313     Price change: -0.280002% 
Duke Energy - Price: 365.344666     Price change: 1.920001% 
UnitedHealth Group - Price: 333.116608     Price change: 1.400000% 
JPMorgan Chase - Price: 351.819763     Price change: -0.129996% 
McDonalds - Price: 354.683228     Price change: -0.509997% 
Coca-Cola - Price: 435.263184     Price change: -1.600001% 
Microsoft - Price: 276.348358     Price change: 0.290004% 
AT&T - Price: 361.133240     Price change: 1.030003% 
Day 136: 
ExxonMobil - Price: 524.742798     Price change: -0.700001% 
Shermin-Williams - Price: 337.192749     Price change: 1.979998% 
Boeing - Price: 290.700562     Price change: 2.530003% 
Duke Energy - Price: 377.072235     Price change: 3.210002% 
UnitedHealth Group - Price: 339.512451     Price change: 1.920001% 
JPMorgan Chase - Price: 366.807281     Price change: 4.259999% 
McDonalds - Price: 357.981781     Price change: 0.930000% 
Coca-Cola - Price: 439.267609     Price change: 0.920001% 
Microsoft - Price: 279.830353     Price change: 1.260002% 
AT&T - Price: 358.208069     Price change: -0.809998% 
Day 137: 
ExxonMobil - Price: 523.063599     Price change: -0.320004% 
Shermin-Williams - Price: 336.552094     Price change: -0.189997% 
Boeing - Price: 286.892395     Price change: -1.309996% 
Duke Energy - Price: 375.262299     Price change: -0.479997% 
UnitedHealth Group - Price: 350.105225     Price change: 3.119996% 
JPMorgan Chase - Price: 365.670166     Price change: -0.310004% 
McDonalds - Price: 374.627930     Price change: 4.649999% 
Coca-Cola - Price: 441.463959     Price change: 0.500003% 
Microsoft - Price: 286.406372     Price change: 2.350002% 
AT&T - Price: 370.781158     Price change: 3.509996% 
Day 138: 
ExxonMobil - Price: 522.069763     Price change: -0.190003% 
Shermin-Williams - Price: 342.273468     Price change: 1.699997% 
Boeing - Price: 286.031708     Price change: -0.300004% 
Duke Energy - Price: 376.913452     Price change: 0.440000% 
UnitedHealth Group - Price: 355.426819     Price change: 1.519999% 
JPMorgan Chase - Price: 373.495514     Price change: 2.140002% 
McDonalds - Price: 371.668365     Price change: -0.790001% 
Coca-Cola - Price: 449.807617     Price change: 1.889998% 
Microsoft - Price: 287.036469     Price change: 0.220001% 
AT&T - Price: 374.192352     Price change: 0.920002% 
Day 139: 
ExxonMobil - Price: 524.784546     Price change: 0.520004% 
Shermin-Williams - Price: 341.623138     Price change: -0.190003% 
Boeing - Price: 284.086700     Price change: -0.679997% 
Duke Energy - Price: 385.846313     Price change: 2.370003% 
UnitedHealth Group - Price: 371.563202     Price change: 4.540002% 
JPMorgan Chase - Price: 371.515991     Price change: -0.529999% 
McDonalds - Price: 376.054047     Price change: 1.179999% 
Coca-Cola - Price: 452.551453     Price change: 0.610002% 
Microsoft - Price: 286.605927     Price change: -0.149996% 
AT&T - Price: 377.485260     Price change: 0.880004% 
Day 140: 
ExxonMobil - Price: 531.081970     Price change: 1.200002% 
Shermin-Williams - Price: 348.763062     Price change: 2.090000% 
Boeing - Price: 288.490051     Price change: 1.550002% 
Duke Energy - Price: 383.338318     Price change: -0.649999% 
UnitedHealth Group - Price: 384.307831     Price change: 3.430003% 
JPMorgan Chase - Price: 368.358093     Price change: -0.850003% 
McDonalds - Price: 379.513733     Price change: 0.919997% 
Coca-Cola - Price: 453.139771     Price change: 0.130000% 
Microsoft - Price: 287.379761     Price change: 0.269999% 
AT&T - Price: 382.958801     Price change: 1.450001% 
Day 141: 
ExxonMobil - Price: 557.370544     Price change: 4.950003% 
Shermin-Williams - Price: 347.647034     Price change: -0.319996% 
Boeing - Price: 290.278687     Price change: 0.619999% 
Duke Energy - Price: 402.735229     Price change: 5.059998% 
UnitedHealth Group - Price: 399.180542     Price change: 3.870000% 
JPMorgan Chase - Price: 373.367767     Price change: 1.360001% 
McDonalds - Price: 377.730011     Price change: -0.470002% 
Coca-Cola - Price: 453.185089     Price change: 0.010001% 
Microsoft - Price: 294.478027     Price change: 2.469995% 
AT&T - Price: 384.375763     Price change: 0.370004% 
Day 142: 
ExxonMobil - Price: 561.160645     Price change: 0.679996% 
Shermin-Williams - Price: 354.252319     Price change: 1.899998% 
Boeing - Price: 293.210510     Price change: 1.010003% 
Duke Energy - Price: 412.320343     Price change: 2.380004% 
UnitedHealth Group - Price: 405.487579     Price change: 1.579996% 
JPMorgan Chase - Price: 390.617371     Price change: 4.620003% 
McDonalds - Price: 382.527191     Price change: 1.270002% 
Coca-Cola - Price: 465.421082     Price change: 2.699999% 
Microsoft - Price: 294.860840     Price change: 0.129997% 
AT&T - Price: 383.952942     Price change: -0.110002% 
Day 143: 
ExxonMobil - Price: 570.980957     Price change: 1.750000% 
Shermin-Williams - Price: 356.377838     Price change: 0.600001% 
Boeing - Price: 295.409576     Price change: 0.749996% 
Duke Energy - Price: 407.743591     Price change: -1.109999% 
UnitedHealth Group - Price: 413.718964     Price change: 2.029997% 
JPMorgan Chase - Price: 391.281433     Price change: 0.170003% 
McDonalds - Price: 387.538300     Price change: 1.310001% 
Coca-Cola - Price: 471.750793     Price change: 1.359997% 
Microsoft - Price: 302.615692     Price change: 2.630004% 
AT&T - Price: 396.009064     Price change: 3.140000% 
Day 144: 
ExxonMobil - Price: 568.754150     Price change: -0.389997% 
Shermin-Williams - Price: 362.721375     Price change: 1.780003% 
Boeing - Price: 298.688629     Price change: 1.110002% 
Duke Energy - Price: 417.162476     Price change: 2.310002% 
UnitedHealth Group - Price: 429.316162     Price change: 3.769998% 
JPMorgan Chase - Price: 392.259644     Price change: 0.250002% 
McDonalds - Price: 389.475983     Price change: 0.499998% 
Coca-Cola - Price: 468.542877     Price change: -0.680002% 
Microsoft - Price: 305.611572     Price change: 0.989995% 
AT&T - Price: 411.889038     Price change: 4.010003% 
Day 145: 
ExxonMobil - Price: 571.711670     Price change: 0.520000% 
Shermin-Williams - Price: 361.923401     Price change: -0.219996% 
Boeing - Price: 302.452118     Price change: 1.260004% 
Duke Energy - Price: 417.996796     Price change: 0.199999% 
UnitedHealth Group - Price: 433.308807     Price change: 0.930001% 
JPMorgan Chase - Price: 392.808807     Price change: 0.140000% 
McDonalds - Price: 397.849731     Price change: 2.150004% 
Coca-Cola - Price: 470.557617     Price change: 0.430001% 
Microsoft - Price: 320.647675     Price change: 4.920004% 
AT&T - Price: 413.989685     Price change: 0.510003% 
Day 146: 
ExxonMobil - Price: 577.371643     Price change: 0.990005% 
Shermin-Williams - Price: 375.423157     Price change: 3.730004% 
Boeing - Price: 310.467102     Price change: 2.650001% 
Duke Energy - Price: 429.491699     Price change: 2.749998% 
UnitedHealth Group - Price: 438.985138     Price change: 1.309997% 
JPMorgan Chase - Price: 411.310089     Price change: 4.709997% 
McDonalds - Price: 399.719635     Price change: 0.470002% 
Coca-Cola - Price: 488.015320     Price change: 3.710003% 
Microsoft - Price: 324.367188     Price change: 1.160000% 
AT&T - Price: 408.442230     Price change: -1.339998% 
Day 147: 
ExxonMobil - Price: 579.103760     Price change: 0.300000% 
Shermin-Williams - Price: 374.034088     Price change: -0.370001% 
Boeing - Price: 315.931335     Price change: 1.760004% 
Duke Energy - Price: 426.184601     Price change: -0.770003% 
UnitedHealth Group - Price: 460.275909     Price change: 4.849998% 
JPMorgan Chase - Price: 408.924500     Price change: -0.579998% 
McDonalds - Price: 399.959473     Price change: 0.060001% 
Coca-Cola - Price: 492.212250     Price change: 0.860000% 
Microsoft - Price: 328.421783     Price change: 1.250002% 
AT&T - Price: 418.285675     Price change: 2.409997% 
Day 148: 
ExxonMobil - Price: 581.536011     Price change: 0.420003% 
Shermin-Williams - Price: 375.679840     Price change: 0.440001% 
Boeing - Price: 327.494415     Price change: 3.659998% 
Duke Energy - Price: 433.259277     Price change: 1.660003% 
UnitedHealth Group - Price: 469.987732     Price change: 2.110000% 
JPMorgan Chase - Price: 435.218353     Price change: 6.430002% 
McDonalds - Price: 398.679596     Price change: -0.320002% 
Coca-Cola - Price: 499.004791     Price change: 1.380003% 
Microsoft - Price: 330.687897     Price change: 0.690001% 
AT&T - Price: 431.503510     Price change: 3.160002% 
Day 149: 
ExxonMobil - Price: 601.308228     Price change: 3.399999% 
Shermin-Williams - Price: 373.538452     Price change: -0.570003% 
Boeing - Price: 331.620850     Price change: 1.260001% 
Duke Energy - Price: 444.957275     Price change: 2.699999% 
UnitedHealth Group - Price: 476.896545     Price change: 1.469999% 
